Ward no,Burough,PIN Code,Neighbourhood,Latitude,Longitude
1,1,700 003,Cossipore,22.617889,88.370556
2,1,"700030, 700050","Sinthee (Ramlila Bagan-Biswanath Colony-Roypara), Sobji Bagan, Satpukur",22.628056,88.384444
3,1,700 037,"Belgachia, Duttabagan",22.604444,88.383333
4,1,700 002/ 700 037,Paikpara,22.613056,88.379444
5,1,700 002,"Tala, Belgachia",22.608889,88.379694
6,1,700 002,"Chitpur, Cossipore",22.610863,88.371213
7,1,700 003,Bagbazar,22.603567,88.365806
8,1,700 003,"Bagbazar, Shobhabazar",22.601806,88.3665
9,1,700 004,"Shobhabazar, Kumortuli",22.595889,88.365306
10,2,700 004,"Shyambazar, Shobhabazar, Shyampukur, Hatibagan",22.597889,88.364326
11,2,700 004,"Shyambazar, Burtolla, Hatibagan",22.598806,88.373611
12,2,700 004,Shyambazar (Fariapukur),22.596806,88.376694
13,3,700 067,Ultadanga (Daspara-Muchi Bazar-Telenga Bagan-Surir Bagan),22.594167,88.385889
14,3,700 067,"Ultadanga (Murari Pukur), Bagmari",22.589278,88.385556
15,2,700 009,Maniktala (Bangiya Sahitya Parishad-Halsi Bagan-Gouribari),22.590278,88.376556
16,2,700 009,Maniktala (Bangiya Sahitya Parishad-Goa Bagan),22.591278,88.371361
17,2,700 128,Darjipara,22.595378,88.365556
18,2,700 004,"Shobhabazar, Beniatola (Garanhatta)",22.593667,88.362861
19,2,700 004,"Shobhabazar, Beniatola (Ahiritola)",22.595667,88.357667
20,2,700 049,Beniatola (Ahiritola),22.593556,88.354667
21,4,700 047,"Jorabagan, Malapara",22.592167,88.352472
22,4,700 007,Posta,22.586861,88.351667
23,4,700 007,"Posta, Jorasanko",22.584667,88.356667
24,4,700 006,"Jorabagan, Pathuriaghata",22.588472,88.356361
25,4,700 006,"Rambagan, Girish Park, Jorasanko, Simla",22.587761,88.361251
26,4,700 006,Ramdulal Sarkar Street and Hedua Park,22.58725,88.365028
27,4,700 006,Maniktala,22.58525,88.372333
28,4,700 006,"Maniktala, Garpar, Rajabazar",22.58025,88.375833
29,3,700 011,Narkeldanga,22.57925,88.379833
30,3,700 011,"Narkeldanga, Phoolbagan, Kankurgachi",22.57625,88.387528
31,3,700 006,"Kankurgachi, Phoolbagan (Kadapara)",22.579861,88.388917
32,3,700 006,"Kankurgachi, Bagmari, Ultadanga (Murari Pukur-Sreekrishna Colony)",22.582861,88.391917
33,3,700 010,"Phoolbagan (Subhas Sarovar), Beliaghata (Kulia)",22.564861,88.399306
34,3,700 010,Beliaghata (Ganguly Bagan-Uria Bagan-Kulia),22.564861,88.389306
35,3,700 010,"Beliaghata (Kundu Bagan-Kulia), Phoolbagan",22.567861,88.384306
36,5,"700 009, 700 010","Beliaghata (Barafkal), Sealdah, Rajabazar",22.566861,88.376972
37,5,700 009,"Sealdah (Baithakkhana), Rajabazar",22.574861,88.369861
38,4,700 009,"Rajabazar, Amherst Street",22.579167,88.370861
39,4,700 007,"Marcus Square, College Street, Simla",22.579667,88.362861
40,5,700 007,"College Street, College Square, Patuatola, Naren Sen Square",22.575461,88.364361
41,5,700 006,Jorasanko,22.582278,88.359167
42,5,700 007,Burrabazar,22.580313,88.352673
43,5,700 073,"Burrabazar (Mechhua), Kolutola",22.576889,88.359167
44,5,700 007,"Burrabazar (Mechhua), Tiretta Bazaar, Colootola, College Street",22.574889,88.357361
45,5,700 001,"Esplanade West, Eden Gardens, Babughat, Millennium Park, B.B.D. Bagh, Lalbazar, Burrabazar",22.568889,88.346167
46,6,700 069,"Chowringhee, Esplanade East, Dharmatala, Janbazar, Lalbazar, Bowbazar (Chandni Chowk), Maidan",22.56725,88.350722
47,6,700 012,"Bowbazar (Chandni Chowk), Dharmatala",22.56825,88.359611
48,5,700 012,Bowbazar,22.568249,88.361389
49,5,700 012,"Bowbazar, Sealdah (Baithakkhana)",22.568235,88.367611
50,5,700 012,"Bowbazar (Lebutala), Taltala, Moulali, Sealdah",22.5659,88.3633
51,6,700 012,"Bowbazar, Taltala",22.565245,88.362611
52,6,700 014,"Taltala (Collin Street-Marquis Street), Janbazar",22.558245,88.356611
53,6,700 014,"Taltala, Moulali",22.558245,88.361611
54,6,700 014,Entally,22.558685,88.368611
55,6,700 014,"Sealdah, Entally",22.554245,88.372811
56,7,700 014,"Entally, Tangra (Seal Lane)",22.55525,88.378611
57,7,700 014,"Tangra (Munshi Bazar-Canal South Road-Metropolitan Housing), Chingrighata (Shanti Nagar), East Kolkata Wetlands (Makaltala-Chailabi)",22.559333,88.389611
58,7,700 014,"Tangra (Seal Lane), Dhapa (Mathpukur), East Kolkata Wetlands (Arupota-Bosetala-Boinchtala-Durgapur-Anandabad-Khanaberia)",22.543333,88.39725
59,7,700 046,"Beniapukur, Gobra, Tangra (Seal Lane)",22.545333,88.377125
60,6,700 014,"Park Circus, Beniapukur",22.547333,88.369325
61,6,700 016,"Park Circus, Beniapukur (Nonapukur), Park Street (Mullickbazar), Taltala (Elliot Road)",22.549639,88.35925
62,6,700 016,"Taltala (Ripon Street-Alimuddin Street), Moulali",22.554839,88.360625
63,7,700 016,"Chowringhee, Taltala (Ripon Street-Royd Street), Park Street (Kankaria Estates-Mullick Bazar), Shakespeare Sarani, Maidan, The 42, Hastings (Race Course)",22.546639,88.352444
64,7,700 017,"Park Street (Mullick Bazar), Park Circus, Beck Bagan",22.541217,88.364333
65,7,700 029,"Ballygunge (Ballygunge Park), Park Circus, Gobra and Tiljala (Kustia-Bondel)",22.531667,88.368444
66,7,700 039,"Tangra (Chinatown), Topsia, Science City, Forum Atmosphere, Tiljala (Kustia-Picnic Garden-Binay Singh Colony)",22.531861,88.385444
